,双百企业名单
193,中铁九局集团有限公司
194,中铁二院工程集团有限责任公司
195,中铁国际集团有限公司
196,中铁二十三局集团有限公司
197,中铁第四勘察设计院集团有限公司
198,中铁第五勘察设计院集团有限公司
199,中交房地产集团有限公司
200,中交疏浚（集团）股份有限公司
201,中国交通信息中心有限公司
202,上海振华重工(集团)股份有限公司
203,中交水运规划设计院有限公司
204,中交一公局集团有限公司
205,南京南方电讯有限公司
206,北京首信科技股份有限公司
207,电信科学技术第十研究所有限公司
208,电信科学技术第一研究所有限公司
209,辰芯科技有限公司
210,中牧实业股份有限公司
211,中国牧工商集团有限公司
212,中农发种业集团股份有限公司
213,绥芬河国林木业城投资有限公司
214,杭州千岛湖发展集团有限公司
215,中国医药投资有限公司
216,中国医药集团联合工程有限公司
217,保利国际控股有限公司
218,保利文化集团股份有限公司
219,中国工艺集团有限公司
220,中国蚕丝绸缎进出口公司
221,中国丝绸服装进出口有限公司
222,北京国标建筑科技有限责任公司
223,都市高科（北京）环境科技有限公司
224,正元地理信息有限责任公司
225,三川德青科技有限公司
226,江苏中煤长江地质勘查集团有限公司
227,中煤航测遥感集团有限公司
228,南京际华三五二一环保科技有限公司
229,新兴铸管股份有限公司
230,中国航空结算有限责任公司
231,天信达信息技术有限公司
232,中国航油集团石油有限公司
233,重庆市泽胜船务（集团）有限公司
234,中国民航技术装备有限责任公司
235,昆明利顿人通信息服务有限公司
236,中国水利水电第十四工程局有限公司
237,中国电建集团中南勘测设计研究院有限公司
238,中电建建筑集团有限公司
239,中国电建集团贵州工程有限公司
240,中国能源建设集团湖南省电力设计院有限公司
241,中国能源建设集团安徽电力建设第二工程有限公司
242,中国黄金集团黄金珠宝股份有限公司
243,西藏华泰龙矿业开发有限公司
244,中广核核电运营有限公司
245,中广核研究院有限公司
246,中广核核技术发展股份有限公司
247,中广核节能产业发展有限公司
248,中国广核新能源控股有限公司
249,北京易华录信息技术股份有限公司
250,北方华录文化科技（北京）有限公司
251,北京华录新媒信息技术有限公司
252,深圳华侨城文化旅游科技股份有限公司
253,深圳市易平方网络科技有限公司
254,南光国际会议展览有限公司
255,西安西电电力系统有限公司
256,西安西电开关电气有限公司
257,中铁物轨道科技服务集团有限公司
258,武汉中铁伊通物流有限公司
259,中国国新基金管理有限公司
260,国新资本有限公司
261,中国文化产业发展集团有限公司
262,首钢集团有限公司
263,北京能源集团有限责任公司
264,唐山冀东水泥股份有限公司
265,北京外企人力资源服务有限公司
266,北方华创科技集团股份有限公司
267,天津光电集团有限公司
268,天津津融资产管理有限公司
269,天津中新药业集团股份有限公司
270,天津液压机械（集团）有限公司
271,天津泰达建设集团有限公司
272,天津物产电子商务有限公司
273,天纺标检测认证股份有限公司
274,河北省资产管理有限公司
275,唐山钢铁集团有限责任公司
276,华北医疗健康产业有限公司
277,河北建投国融能源服务有限公司
278,河北国控资本管理有限公司
279,秦皇岛港股份有限公司
280,山西杏花村汾酒集团有限责任公司
281,山西焦煤集团有限责任公司
282,太原钢铁（集团）有限公司
283,阳泉煤业（集团）有限责任公司
284,格盟国际能源有限公司
285,晋能清洁能源有限公司
286,内蒙古交通投资（集团）有限责任公司
287,内蒙古电力集团综合能源有限责任公司
288,华宸信托有限责任公司
289,内蒙古能源发电投资集团有限公司
290,包头钢铁（集团）有限责任公司
291,辽宁省交通规划设计院有限责任公司
292,凌源钢铁集团有限责任公司
293,华晨汽车集团控股有限公司
294,中国吉林森林工业集团有限责任公司
295,吉林省农牧科技有限公司
296,长春市热力（集团）有限责任公司
297,吉林化纤集团有限责任公司
298,黑龙江辰能新能源开发股份有限公司
299,龙建路桥股份有限公司
300,黑龙江中盟龙新化工有限公司
301,上海电气环保集团
302,上海制皂（集团）有限公司
303,上汽安吉物流股份有限公司
304,云赛智联股份有限公司
305,东方国际创业股份有限公司
306,老凤祥股份有限公司
307,上海医药集团股份有限公司
308,上海海立(集团)股份有限公司
309,上海燃气有限公司
310,江苏省国信资产管理集团有限公司
311,华泰证券股份有限公司
312,江苏省盐业集团有限责任公司
313,南京金陵饭店集团有限公司
314,南京旅游集团有限责任公司
315,徐工集团工程机械有限公司
316,浙江省浙商资产管理有限公司
317,浙江富春紫光环保股份有限公司
318,浙江高速信息工程技术有限公司
319,杭州市水务控股集团有限公司
320,杭州热联集团股份有限公司
321,安徽铜冠铜箔有限公司
322,国元农业保险股份有限公司
323,安徽华塑股份有限公司
324,安徽皖垦种业股份有限公司
325,安徽长城军工股份有限公司
326,福建省国有资产管理有限公司
327,厦门新立基股份有限公司
328,福建龙溪轴承（集团）股份有限公司
329,福建福日电子股份有限公司
330,福人木业（福州）有限公司
331,厦门钨业股份有限公司
332,江西铜业集团有限公司
333,新余钢铁集团有限公司
334,江西省绿色产业集团有限公司
335,江西省天然气（赣投气通）控股有限公司
336,中鼎国际建设集团有限责任公司
337,江铃汽车集团公司
338,江西钨业股份有限公司
339,山东黄金集团有限公司
340,鲁信创业投资集团股份有限公司
341,万华化学集团股份有限公司
342,兖州煤业股份有限公司
343,山东国惠投资有限公司
344,济南二机床集团有限公司
345,郑州煤矿机械集团股份有限公司
346,中国平煤神马集团开封炭素有限公司
347,三门峡戴卡轮毂制造有限公司
348,河南省中原石油天然气集团有限公司
349,安阳钢铁集团有限责任公司
350,河南投资集团有限公司
351,中原环保股份有限公司
352,湖北省铁路建设投资集团有限责任公司
353,中南建筑设计院股份有限公司
354,湖北空港航空物流有限公司
355,湖北广盐蓝天盐化有限公司
356,武汉建工集团股份有限公司
357,湖南建工集团有限公司
358,湖南省交通水利建设集团有限公司
359,湖南湘电动力有限公司
360,湖南新天地保安服务有限公司
361,湖南省建筑设计院有限公司
362,广东省产权交易集团有限公司
363,广东粤海控股集团有限公司
364,广东广业清怡食品科技有限公司
365,广东华隧建设集团股份有限公司
366,广州无线电集团有限公司
367,广州汽车集团股份有限公司
368,广东省机场管理集团翼通商务航空服务有限公司
369,广州医药集团有限公司
370,广西建工集团有限责任公司
371,广西柳工集团有限公司
372,广西荣桂物流集团有限公司
373,北部湾港股份有限公司
374,百色百矿集团有限公司
375,海南省建设集团有限公司
376,海南海汽运输集团股份有限公司
377,海南天然橡胶产业集团股份有限公司
378,海南天汇能源股份有限公司
379,重庆农村商业银行股份有限公司
380,重庆渝富资产经营管理集团有限公司
381,重庆商社(集团)有限公司
382,重庆医药健康产业有限公司
383,重庆三峰环境产业集团有限公司
384,重庆对外经贸（集团）有限公司
385,四川省商业投资集团有限责任公司
386,四川航空集团有限责任公司
387,华西牙科有限责任公司
388,四川交投实业有限公司
