,双百企业名单
191,西藏华泰龙矿业开发有限公司
192,中广核核电运营有限公司
193,中广核研究院有限公司
194,中广核节能产业发展有限公司
195,中国广核新能源控股有限公司
196,北方华录文化科技（北京）有限公司
197,北京华录新媒信息技术有限公司
198,深圳市易平方网络科技有限公司
199,南光国际会议展览有限公司
200,西安西电电力系统有限公司
201,西安西电开关电气有限公司
202,中铁物轨道科技服务集团有限公司
203,武汉中铁伊通物流有限公司
204,中国国新基金管理有限公司
205,国新资本有限公司
206,中国文化产业发展集团有限公司
207,首钢集团有限公司
208,北京能源集团有限责任公司
209,北京外企人力资源服务有限公司
210,天津光电集团有限公司
211,天津津融资产管理有限公司
212,天津液压机械（集团）有限公司
213,天津泰达建设集团有限公司
214,天津物产电子商务有限公司
215,河北省资产管理有限公司
216,唐山钢铁集团有限责任公司
217,华北医疗健康产业有限公司
218,河北建投国融能源服务有限公司
219,河北国控资本管理有限公司
220,山西杏花村汾酒集团有限责任公司
221,山西焦煤集团有限责任公司
222,太原钢铁（集团）有限公司
223,阳泉煤业（集团）有限责任公司
224,格盟国际能源有限公司
225,晋能清洁能源有限公司
226,内蒙古交通投资（集团）有限责任公司
227,内蒙古电力集团综合能源有限责任公司
228,华宸信托有限责任公司
229,内蒙古能源发电投资集团有限公司
230,包头钢铁（集团）有限责任公司
231,辽宁省交通规划设计院有限责任公司
232,凌源钢铁集团有限责任公司
233,华晨汽车集团控股有限公司
234,中国吉林森林工业集团有限责任公司
235,吉林省农牧科技有限公司
236,长春市热力（集团）有限责任公司
237,吉林化纤集团有限责任公司
238,黑龙江中盟龙新化工有限公司
239,上海电气环保集团
240,上海制皂（集团）有限公司
241,上海燃气有限公司
242,江苏省国信资产管理集团有限公司
243,江苏省盐业集团有限责任公司
244,南京金陵饭店集团有限公司
245,南京旅游集团有限责任公司
246,徐工集团工程机械有限公司
247,浙江省浙商资产管理有限公司
248,浙江高速信息工程技术有限公司
249,杭州市水务控股集团有限公司
250,安徽铜冠铜箔有限公司
251,福建省国有资产管理有限公司
252,福人木业（福州）有限公司
253,江西铜业集团有限公司
254,新余钢铁集团有限公司
255,江西省绿色产业集团有限公司
256,江西省天然气（赣投气通）控股有限公司
257,中鼎国际建设集团有限责任公司
258,江铃汽车集团公司
259,山东黄金集团有限公司
260,山东国惠投资有限公司
261,济南二机床集团有限公司
262,中国平煤神马集团开封炭素有限公司
263,三门峡戴卡轮毂制造有限公司
264,河南省中原石油天然气集团有限公司
265,安阳钢铁集团有限责任公司
266,河南投资集团有限公司
267,湖北省铁路建设投资集团有限责任公司
268,湖北空港航空物流有限公司
269,湖北广盐蓝天盐化有限公司
270,湖南建工集团有限公司
271,湖南省交通水利建设集团有限公司
272,湖南湘电动力有限公司
273,湖南新天地保安服务有限公司
274,湖南省建筑设计院有限公司
275,广东省产权交易集团有限公司
276,广东粤海控股集团有限公司
277,广东广业清怡食品科技有限公司
278,广州无线电集团有限公司
279,广东省机场管理集团翼通商务航空服务有限公司
280,广州医药集团有限公司
281,广西建工集团有限责任公司
282,广西柳工集团有限公司
283,广西荣桂物流集团有限公司
284,百色百矿集团有限公司
285,海南省建设集团有限公司
286,重庆渝富资产经营管理集团有限公司
287,重庆商社(集团)有限公司
288,重庆医药健康产业有限公司
289,重庆三峰环境产业集团有限公司
290,重庆对外经贸（集团）有限公司
291,四川省商业投资集团有限责任公司
292,四川航空集团有限责任公司
293,华西牙科有限责任公司
294,四川交投实业有限公司
295,成都产业投资集团有限公司
296,四川九洲卫星导航投资发展有限公司
297,贵州盘江煤电集团有限责任公司
298,贵州中建伟业建设工程有限责任公司
299,贵州金州电力有限责任公司
300,云南省贵金属新材料控股集团有限公司
301,云南锡业集团（控股）有限责任公司
302,云南省能源投资集团有限公司
303,云南省设计院集团
304,云南天朗节能环保集团有限公司
305,陕西钢铁集团有限公司
306,陕西延长中煤榆林能源化工有限公司
307,陕西环保固体废物处置利用有限责任公司
308,陕汽集团商用车有限公司
309,陕西燃气集团新能源发展有限公司
310,西北永新集团有限公司
311,甘肃省公路交通建设集团有限公司
312,兰州中川国际机场有限公司
313,甘肃省国有资产投资集团有限公司
314,甘肃工程咨询集团有限公司
315,西宁国家低碳产业基金投资管理有限公司
316,宁夏水务投资集团有限公司
317,宁夏建设投资集团有限公司
318,银川通联资本投资运营有限公司
319,新疆生产建设兵团石油有限公司
320,新疆通用航空有限责任公司
321,新疆生产建设兵团建设工程（集团）有限责任公司
322,大连市建设投资集团有限公司
323,瓦房店轴承集团有限责任公司
324,三寰集团有限公司
325,宁波国际投资咨询有限公司
326,宁波市交通建设工程试验检测中心有限公司
327,厦门国贸控股集团有限公司
328,厦门象屿集团有限公司
329,夏商农产品集团
330,双星集团有限责任公司
331,青岛宏达塑胶总公司
332,深圳市投资控股有限公司
333,深圳市粮食集团有限公司
334,深圳国际控股有限公司
335,深圳市特发集团有限公司
336,深圳市远致投资有限公司
